"","X.1","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize","Time","DaysOnMarket","RollTimeAv"
"97",7571,16303,"203 Roseman Ct, Newark, DE",19711,2009-01-31,"Listed for sale",239000,3,2.5,1625,2613,446,39,147.933333333333
"98",8042,14673,"6 Myers Rd, Newark, DE",19713,2009-02-04,"Sold",222850,3,1.1,1650,7840,450,102,122.266666666667
"99",13841,6500,"28 Palo Ln, Newark, DE",19702,2009-02-05,"Sold",285000,3,2.5,2250,7405,451,208,128
"100",11983,14633,"56 Vansant Rd, Newark, DE",19711,2009-02-06,"Listed for sale",305000,3,3,1950,7840,452,291,160.666666666667
"101",6159,11308,"3 Ferncliff Rd, Newark, DE",19711,2009-02-09,"Sold",209900,3,2,1525,8276,455,100,122.533333333333
"102",12091,21273,"13 Woodcrest Ct, Newark, DE",19702,2009-02-18,"Listed for sale",224900,3,3,1950,2613,464,175,169
"103",9994,18675,"11 O'rourke Ct, Newark, DE",19702,2009-02-19,"Sold",214000,3,2.5,1775,2613,465,100,124.733333333333
"104",13542,2446,"10 Ansonia Ct, Newark, DE",19711,2009-02-27,"Listed for sale",210000,4,3,2200,6098,473,62,165.666666666667
"105",13107,6030,"17 Dalton Dr, Newark, DE",19702,2009-02-27,"Sold",310000,3,2.5,2100,7840,473,157,110.533333333333
"106",6275,15103,"9 Broadfield Dr, Newark, DE",19713,2009-03-03,"Sold",225000,4,1.5,1525,9147,477,112,106
"107",3734,8730,"2 Meadow Ln, Newark, DE",19713,2009-03-05,"Listed for sale",185000,4,1,1350,8712,479,98,164.4
"108",7572,16304,"203 Roseman Ct, Newark, DE",19711,2009-03-11,"Sold",230000,3,2.5,1625,2613,485,39,100.933333333333
"109",8,865,"2079 Pleasant Valley Rd, Newark, DE",19702,2009-03-16,"Sold",650000,3,1,580,95832,490,85,91.6666666666667
"110",5288,16395,"216 Sleepy Hollow Ct, Newark, DE",19711,2009-03-19,"Listed for sale",238900,2,3,1450,4356,493,69,160.066666666667
"111",9041,20490,"520 Blacksmith Ln, Newark, DE",19702,2009-03-29,"Listed for sale",208000,3,1,1700,2178,503,178,160.866666666667
"112",6861,14854,"737 Manfield Rd, Newark, DE",19713,2009-03-30,"Sold",150000,4,2,1575,7840,504,134,97.4666666666667
"113",7934,11273,"260 S Dillwyn Rd, Newark, DE",19711,2009-04-01,"Sold",2e+05,3,1.5,1650,6969,506,142,103.8
"114",4902,21783,"213 Barrett Run Pl, Newark, DE",19702,2009-04-04,"Listed for sale",209500,2,2.5,1415,1742,509,177,162.466666666667
"115",12472,5157,"73 Avignon Dr, Newark, DE",19702,2009-04-07,"Listed for sale",249900,4,3,2003,9583,512,91,144.4
"116",3997,17981,"625 Lockhaven Ct, Newark, DE",19702,2009-04-08,"Listed for sale",139900,3,1,1350,5662,513,175,156
"117",14156,2702,"105 Split Rail Ct, Newark, DE",19702,2009-04-16,"Listed for sale",329000,4,2.5,2350,9583,521,130,152.866666666667
"118",3322,20032,"31 Victoria Blvd, Newark, DE",19702,2009-04-16,"Listed for sale",175000,2,2.5,1300,2178,521,229,162.466666666667
"119",7097,12856,"12 Gurnsey Dr, Newark, DE",19713,2009-04-17,"Listed for sale",197500,3,1,1600,7840,522,82,148.8
"120",12290,22207,"30 Lisa Dr, Newark, DE",19702,2009-04-17,"Listed for sale",214900,3,2.5,1975,2178,522,228,151.466666666667
"121",4370,20050,"314 Goldsmith Ln, Newark, DE",19702,2009-04-17,"Listed for sale",199500,3,1.5,1375,2178,522,45,137.933333333333
"122",9397,20674,"801 Arbern Pl, Newark, DE",19711,2009-04-20,"Sold",247000,2,3,1725,5662,525,179,115.666666666667
"123",12081,20310,"407 Kinross Dr, Newark, DE",19711,2009-04-21,"Listed for sale",279900,4,2.5,1950,7405,526,101,142.066666666667
"124",6566,19011,"124 Richards Ln, Newark, DE",19711,2009-04-26,"Listed for sale",220000,3,2.1,1550,2613,531,220,137.333333333333
"125",4972,11674,"43 Millwright Dr, Newark, DE",19711,2009-04-27,"Sold",179900,4,2,1425,9147,532,186,124.866666666667
"126",13544,2448,"10 Ansonia Ct, Newark, DE",19711,2009-04-30,"Sold",205000,4,3,2200,6098,535,62,125.666666666667
"127",7108,12911,"121 Stature Dr, Newark, DE",19713,2009-05-02,"Listed for sale",199993,4,2,1600,7840,537,111,133.066666666667
"128",8891,13976,"3 Edgebrooke Way, Newark, DE",19702,2009-05-02,"Listed for sale",234900,5,2,1700,6969,537,86,134.666666666667
"129",8349,22324,"341 Norman Dr, Newark, DE",19702,2009-05-04,"Sold",205000,3,1.5,1650,2613,539,166,125.066666666667
"130",4845,22228,"305 N Barrington Ct, Newark, DE",19702,2009-05-05,"Sold",210000,3,2.5,1400,3920,540,153,128.333333333333
"131",5761,21240,"129 Galleon Dr, Newark, DE",19702,2009-05-15,"Listed for sale",284900,2,2,1475,5227,550,355,151.8
"132",4904,21785,"213 Barrett Run Pl, Newark, DE",19702,2009-05-15,"Listed for sale",207500,2,2.5,1415,1742,550,136,156.266666666667
"133",1736,10468,"112 Kingswood Rd, Newark, DE",19713,2009-05-16,"Listed for sale",187500,4,1,1200,7840,551,44,147.333333333333
"134",8631,14989,"819 Bradford Ln, Newark, DE",19711,2009-05-23,"Listed for sale",259900,4,1.5,1675,9147,558,66,139.933333333333
"135",5290,16397,"216 Sleepy Hollow Ct, Newark, DE",19711,2009-05-27,"Sold",232000,2,3,1450,4356,562,69,126.133333333333
"136",2028,12866,"12 Queens Way, Newark, DE",19713,2009-05-29,"Listed for sale",155000,3,1,1225,7840,564,342,156.666666666667
"137",8545,11466,"343 N Dillwyn Rd, Newark, DE",19711,2009-05-29,"Listed for sale",264900,4,4,1675,9583,564,98,151.533333333333
"138",6082,18329,"9 Needleleaf Dr, Newark, DE",19702,2009-05-31,"Listed for sale",239900,3,1.5,1512,10454,566,109,150.133333333333
"139",4371,20051,"314 Goldsmith Ln, Newark, DE",19702,2009-06-01,"Sold",195000,3,1.5,1375,2178,567,45,115.266666666667
"140",3513,11792,"505 Lisbeth Rd, Newark, DE",19713,2009-06-05,"Listed for sale",105000,3,1,1325,8712,571,19,136.133333333333
"141",10423,20515,"58 Wellington Dr, Newark, DE",19702,2009-06-08,"Sold",210000,4,2.5,1800,7840,574,177,120.4
"142",3735,8731,"2 Meadow Ln, Newark, DE",19713,2009-06-11,"Sold",182500,4,1,1350,8712,577,98,120.266666666667
"143",2236,20298,"405 Stanley Plaza Blvd, Newark, DE",19713,2009-06-17,"Sold",980500,2,3,1225,2178,583,281,128.533333333333
"144",3514,11793,"505 Lisbeth Rd, Newark, DE",19713,2009-06-24,"Sold",145000,3,1,1325,8712,590,19,122.333333333333
"145",8828,11697,"46 Odaniel Ave, Newark, DE",19711,2009-06-26,"Listed for sale",205000,4,3,1700,6534,592,63,134.866666666667
"146",1372,18245,"8 Verdi Cir, Newark, DE",19702,2009-06-27,"Listed for sale",165000,3,2,1125,5662,593,94,125.933333333333
